Week,Start,Due,Priority,Module,Title,Owner,Acceptance,Release
4,2026-10-05,2026-10-11,P0,Assessment,Teacher author ba loại Assessment và Preview,Hoàng,Duration/MaxAttempts/points hợp lệ; Preview không tạo Attempt,Modern demo
4,2026-10-05,2026-10-11,P0,UI,UI Teacher tạo Course/Question/Practice/Assessment,Khang + Dương,UI phản ánh đúng rule publish và lỗi quyền,Modern demo
5,2026-10-12,2026-10-18,P0,Learning,Continue Learning và Course-linked Practice/Assessment,Khánh,Điều hướng đúng quyền của Student đã enroll,Modern demo
5,2026-10-12,2026-10-18,P0,Assessment,"Publish, Start/save/Resume/submit Assessment",Hoàng,"Ít nhất 5 câu, deadline server không pause, không mất đáp án",Modern demo
5,2026-10-12,2026-10-18,P0,Architecture,Chặn hai Start và submit/finalize đồng thời,Sơn,"Giữ MaxAttempts, một active Attempt, chấm đúng một lần",Modern demo
5,2026-10-12,2026-10-18,P0,UI,"Attempt timer, save, Resume và xác nhận submit",Khang + Dương,Timer lấy deadline server; thử refresh và mất kết nối,Modern demo
6,2026-10-19,2026-10-25,P0,Assessment,"Scoring Overall/Skill, Result và history",Hoàng,So ngưỡng trước làm tròn; highest score và breakdown cùng Attempt,Modern demo
6,2026-10-19,2026-10-25,P0,Learning,"Test owner, enroll, lesson visibility và progress",Khánh,Test hồi quy và CI cho các rule Learning,Modern demo
6,2026-10-19,2026-10-25,P0,QA,"Test 401/403, timeout, duplicate và luồng bốn role",Sơn + Dương + Khang,Có log/test/PR và sửa blocker liên module,Modern demo
7,2026-10-26,2026-11-01,P0,Release,Freeze demo môn Công nghệ hiện đại,Sơn + Khánh + Hoàng + Dương,Luồng đăng ký → học → thi → kết quả/progress chạy từ máy sạch,Modern demo
7,2026-10-26,2026-11-01,P0,Docs,Bug drill và vấn đáp ngẫu nhiên hai module,Sơn + Khánh + Hoàng + Dương,"Mỗi người tự trace, sửa bug nhỏ, giải thích CI/DI/EF/Identity",Modern demo
8,2026-11-02,2026-11-08,P1,Learning,Recommendation theo skill yếu và metadata,Khánh,Chỉ gợi ý nhóm đủ dữ liệu; không gán CEFR/TOEIC,.NET/QLDA
8,2026-11-02,2026-11-08,P1,Assessment,"Stimulus passage/audio, Placement và Skill Breakdown",Hoàng + Dương,Listening có audio; breakdown chỉ khi đủ 3 câu/skill,.NET/QLDA
8,2026-11-02,2026-11-08,P1,UI,"UI audio, kết quả và recommendation",Khang,"Hiển thị đúng dữ liệu, không gắn nhãn chứng nhận",.NET/QLDA
9,2026-11-09,2026-11-15,P1,Learning,Course Unpublish/Archive và CompletedAt lịch sử với Final,Khánh + Sơn,Thay Lesson/Final cập nhật điều kiện; CompletedAt không bị xóa,.NET/QLDA
9,2026-11-09,2026-11-15,P1,Assessment,Version/clone Assessment và bảo vệ Attempt cũ,Hoàng + Dương,Đề cũ không đổi; Final cùng Course/owner,.NET/QLDA
9,2026-11-09,2026-11-15,P1,UI,UI lifecycle Course và Final,Khang,Dữ liệu lịch sử còn đọc được sau Archive,.NET/QLDA
10,2026-11-16,2026-11-22,P1,Admin,"User/role/status, audit và chống mất Active Admin cuối",Sơn + Khang + Dương,Test quyền và request đồng thời; không lộ đáp án cho Admin,.NET/QLDA
10,2026-11-16,2026-11-22,P1,Reporting,Báo cáo progress và kết quả thuộc quyền Teacher,Khánh + Hoàng,Lọc đúng owner; tách Student và số Attempt,.NET/QLDA
11,2026-11-23,2026-11-29,P1,DevOps,Security/performance review và regression liên module,Sơn + Khánh + Hoàng + Dương,"Có số liệu trước/sau, test lỗi sửa và CI",.NET/QLDA
11,2026-11-23,2026-11-29,P1,UI,Test browser/màn hình nhỏ và sửa điều hướng,Khang,Đi hết luồng bốn actor trên kích thước màn hình nhỏ,.NET/QLDA
12,2026-11-30,2026-12-06,P1,QA,"UAT, migration, deploy thử và dữ liệu demo",Cả nhóm,"Fresh setup, backup/restore thử và blocker được đóng",.NET/QLDA
12,2026-11-30,2026-12-06,P1,Docs,"Word, slide, user guide và bằng chứng ba môn",Sơn + Khang + Dương,"Nội dung khớp code, test và lịch sử PR thực tế",.NET/QLDA
13,2026-12-07,2026-12-13,P0,Release,Nghiệm thu Guest → Student → Teacher → Admin và bàn giao,Cả nhóm,"Demo, source, Word, slide, test; khóa release khi đạt gate",.NET/QLDA
